src_lang,tgt_lang,src_text,tgt_text
en,ta,Good morning students,காலை வணக்கம் மாணவர்களே
en,ta,Open your books to page five,உங்கள் புத்தகங்களை ஐந்தாம் பக்கத்தில் திறங்கள்
en,ta,Today we will learn about numbers,இன்று நாம் எண்களைப் பற்றி கற்போம்
en,ta,One two three four five,ஒன்று இரண்டு மூன்று நான்கு ஐந்து
en,ta,The sun rises in the east,சூரியன் கிழக்கில் உதிக்கிறது
en,ta,Water is important for life,தண்ணீர் உயிருக்கு மிகவும் முக்கியமானது
en,ta,Wash your hands before eating,சாப்பிடுவதற்கு முன் கைகளை கழுவுங்கள்
en,ta,The cow gives us milk,பசு நமக்கு பால் தருகிறது
en,ta,A cat has four legs,ஒரு பூனைக்கு நான்கு கால்கள் உள்ளன
en,ta,My name is Raman,என் பெயர் ராமன்
ta,en,வணக்கம்,Hello
ta,en,நன்றி,Thank you
ta,en,மாணவர்கள் படிக்கிறார்கள்,The students are studying
ta,en,ஆசிரியர் கற்பிக்கிறார்,The teacher is teaching
ta,en,பள்ளி நாளை மூடப்படும்,School will be closed tomorrow
en,ml,Good morning,സുപ്രഭാതം
en,ml,How are you,നിങ്ങൾ എങ്ങനെ ഉണ്ട്
en,ml,The children are playing,കുട്ടികൾ കളിക്കുകയാണ്
en,ml,Open your notebook,നിങ്ങളുടെ നോട്ട്ബുക്ക് തുറക്കുക
en,ml,Write your name,നിങ്ങളുടെ പേര് എഴുതുക
en,ml,Two plus two equals four,രണ്ടും രണ്ടും നാലാണ്
en,ml,The river flows to the sea,നദി കടലിലേക്ക് ഒഴുകുന്നു
en,ml,Birds fly in the sky,പക്ഷികൾ ആകാശത്തിൽ പറക്കുന്നു
ml,ta,നമസ്കാരം,வணக்கம்
ml,ta,ഭക്ഷണം കഴിച്ചോ,சாப்பிட்டீர்களா
ml,ta,കുട്ടികൾ ഉറങ്ങുകയാണ്,குழந்தைகள் தூங்குகிறார்கள்
hi,ta,नमस्ते,வணக்கம்
hi,ta,आप कैसे हैं,நீங்கள் எப்படி இருக்கிறீர்கள்
hi,ta,बच्चे खेल रहे हैं,குழந்தைகள் விளையாடுகிறார்கள்
hi,ta,आज स्कूल बंद है,இன்று பள்ளி மூடப்பட்டுள்ளது
en,te,Good morning,శుభోదయం
en,te,How are you,మీరు ఎలా ఉన్నారు
en,te,Students are learning,విద్యార్థులు నేర్చుకుంటున్నారు
