id,category,hindi,english_gloss,santhali,ho,mundari,pronunciation_sat,pronunciation_hoc,pronunciation_unr,verified
greet_001,greetings,नमस्ते बच्चों,Hello children,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_002,greetings,सुप्रभात,Good morning,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_003,greetings,आप कैसे हैं?,How are you?,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_004,greetings,मैं ठीक हूँ,I am fine,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_005,greetings,आपका नाम क्या है?,What is your name?,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_006,greetings,मेरा नाम ... है,My name is ...,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_007,greetings,फिर मिलेंगे,See you again,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_008,greetings,धन्यवाद,Thank you,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_009,greetings,कृपया बैठिए,Please sit down,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
greet_010,greetings,सब लोग खड़े हो जाओ,Everyone stand up,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_001,classroom_instruction,अपनी किताब खोलो,Open your book,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_002,classroom_instruction,किताब बंद करो,Close the book,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_003,classroom_instruction,ध्यान से सुनो,Listen carefully,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_004,classroom_instruction,चुप रहो,Be quiet,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_005,classroom_instruction,लाइन में खड़े हो जाओ,Stand in a line,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_006,classroom_instruction,अपनी कॉपी निकालो,Take out your notebook,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_007,classroom_instruction,बोर्ड को देखो,Look at the board,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_008,classroom_instruction,दोहराओ,Repeat,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_009,classroom_instruction,यह लिखो,Write this,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
instr_010,classroom_instruction,हाथ ऊपर करो,Raise your hand,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_001,numbers,एक,One,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_002,numbers,दो,Two,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_003,numbers,तीन,Three,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_004,numbers,चार,Four,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_005,numbers,पाँच,Five,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_006,numbers,छह,Six,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_007,numbers,सात,Seven,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_008,numbers,आठ,Eight,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
